Unnamed: 0,Владение1,Владение2,Удары по воротам1,Удары по воротам2,Удары в створ1,Удары в створ2,Удары мимо1,Удары мимо2,Фолы1,Фолы2,Угловые удары1,Угловые удары2,Штрафные удары1,Штрафные удары2,Вне игры1,Вне игры2,Команда1,Команда2,Голы1,Голы2,Результат
683,35,65,5,11,3,5,2,6,10,4,9,8,3,10,5,0,Арсенал , Челси,0,2,2
684,51,49,17,3,7,1,10,2,8,8,10,0,8,8,2,0,Вест Хэм , Лестер,4,1,1
685,80,20,15,1,10,0,5,1,5,7,14,0,7,5,1,3,Манчестер Сити , Арсенал,5,0,1
686,46,54,7,5,4,2,3,3,10,7,5,3,5,10,1,2,Вест Хэм , Кристал Пэлас,2,2,0
687,47,53,7,4,5,2,2,2,15,14,3,2,13,14,1,2,Астон Вилла , Брентфорд,1,1,0
688,65,35,8,9,3,5,5,4,7,9,4,5,8,7,1,0,Брайтон , Эвертон,0,2,2
689,37,63,10,13,5,6,5,7,11,6,4,4,5,10,5,0,Ньюкасл , Саутгемптон,2,2,0
690,45,55,10,8,4,3,6,5,8,9,9,9,9,7,2,2,Норвич , Лестер,1,2,2
691,65,35,19,4,7,3,12,1,13,4,12,3,3,12,0,2,Ливерпуль , Челси,1,1,0
692,36,64,8,7,3,2,5,5,13,9,5,5,9,12,2,2,Бернли , Лидс,1,1,0
693,57,43,12,6,8,2,4,4,8,14,10,3,14,8,2,1,Тоттенхэм , Уотфорд,1,0,1
694,45,55,12,8,6,3,6,5,7,9,5,7,9,7,5,4,Вулверхэмптон , Манчестер Юнайтед,0,1,2
695,62,38,11,2,4,1,7,1,13,15,8,2,11,13,0,0,Кристал Пэлас , Тоттенхэм,3,0,1
696,44,56,6,11,2,5,4,6,15,13,6,8,13,13,1,2,Уотфорд , Вулверхэмптон,0,2,2
697,40,60,4,15,1,8,3,7,4,11,5,8,10,4,2,4,Лестер , Манчестер Сити,0,1,2
698,42,58,8,6,3,3,5,3,10,12,5,4,12,10,0,2,Саутгемптон , Вест Хэм,0,0,0
699,64,36,16,9,7,3,9,6,9,2,7,3,2,9,1,3,Манчестер Юнайтед , Ньюкасл,4,1,1
700,51,49,20,4,7,1,13,3,9,11,8,4,11,9,2,0,Арсенал , Норвич,1,0,1
701,42,58,7,3,1,2,6,1,9,12,1,6,12,9,0,2,Брентфорд , Брайтон,0,1,2
702,56,44,10,9,4,6,6,3,11,11,4,11,10,11,2,1,Челси , Астон Вилла,3,0,1
703,45,55,8,15,4,9,4,6,9,8,2,11,7,9,2,4,Лидс , Ливерпуль,0,3,2
704,51,49,10,9,6,6,4,3,3,6,4,6,5,3,2,2,Эвертон , Бернли,3,1,1
705,36,64,15,18,7,9,8,9,9,11,4,5,11,9,1,1,Ньюкасл , Лидс,1,1,0
706,61,39,8,8,0,3,8,5,10,7,4,2,6,10,2,2,Вулверхэмптон , Брентфорд,0,2,2
707,59,41,15,7,10,2,5,5,17,11,10,5,9,16,1,3,Ливерпуль , Кристал Пэлас,3,0,1
708,63,37,9,4,1,2,8,2,5,12,8,5,10,5,4,0,Манчестер Сити , Саутгемптон,0,0,0
709,49,51,8,11,5,8,3,3,10,14,4,8,14,9,1,0,Норвич , Уотфорд,1,3,2
710,45,55,13,7,3,3,10,4,9,8,8,3,8,9,4,2,Бернли , Арсенал,0,1,2
711,55,45,9,6,3,1,6,5,7,10,5,4,10,7,0,2,Астон Вилла , Эвертон,3,0,1
712,40,60,9,14,4,10,5,4,5,8,2,11,6,5,2,0,Вест Хэм , Манчестер Юнайтед,1,2,2
713,38,62,9,8,5,3,4,5,8,10,4,9,9,7,3,2,Брайтон , Лестер,2,1,1
714,47,53,6,13,2,10,4,3,4,15,5,11,15,4,0,1,Тоттенхэм , Челси,0,3,2
715,41,59,1,9,0,4,1,5,12,10,4,13,9,12,3,4,Челси , Манчестер Сити,0,1,2
716,59,41,15,6,4,3,11,3,9,13,5,5,11,9,2,3,Манчестер Юнайтед , Астон Вилла,0,1,2
717,47,53,7,7,4,2,3,5,12,9,6,4,9,11,1,0,Эвертон , Норвич,2,0,1
718,52,48,10,14,4,6,6,8,19,12,5,6,10,17,1,1,Уотфорд , Ньюкасл,1,1,0
719,67,33,11,7,5,3,6,4,10,8,8,4,8,10,1,4,Лестер , Бернли,2,2,0
720,53,47,9,16,5,7,4,9,10,6,5,7,5,10,2,0,Лидс , Вест Хэм,1,2,2
721,33,67,10,12,4,6,6,6,8,7,2,11,7,8,4,4,Брентфорд , Ливерпуль,3,3,0
722,57,43,11,3,6,3,5,0,12,8,5,5,8,11,3,1,Саутгемптон , Вулверхэмптон,0,1,2
723,47,53,11,9,7,4,4,5,12,13,4,4,12,12,2,4,Арсенал , Тоттенхэм,3,1,1
724,47,53,5,6,3,4,2,2,12,10,6,5,9,11,1,0,Кристал Пэлас , Брайтон,1,1,0
725,71,29,12,8,6,2,6,6,10,9,10,1,9,10,2,2,Манчестер Юнайтед , Эвертон,1,1,0
726,51,49,6,5,3,2,3,3,15,5,0,4,5,15,2,1,Вулверхэмптон , Ньюкасл,2,1,1
727,56,44,7,4,4,2,3,2,13,3,9,5,3,13,2,1,Бернли , Норвич,0,0,0
728,61,39,15,5,9,2,6,3,11,13,7,2,13,11,1,0,Челси , Саутгемптон,3,1,1
